(-6.1, 15.4, 30.7)
(-6.1, 15.4, 30.7)
(-6.0, 12.7, 30.6)
(-5.9, 12.7, 30.6)
(-5.8, 9.9, 30.4)
(-5.8, 9.9, 30.5)
(-5.7, 7.2, 30.3)
(-5.7, 7.2, 30.3)
(-5.6, 4.4, 30.2)
(-5.6, 4.4, 30.2)
(-5.4, 1.7, 30.0)
(-5.4, 1.7, 30.1)
(-5.3, -1.0, 29.9)
(-5.3, -1.0, 29.9)
(-5.2, -3.8, 29.8)
(-5.1, -3.8, 29.8)
(-5.0, -6.5, 29.7)
(-5.0, -6.5, 29.7)
(-4.9, -9.2, 29.6)
(-4.8, -9.2, 29.6)
(-4.7, -12.0, 29.4)
(-4.7, -12.0, 29.4)
(-4.6, -14.7, 29.3)
(-4.6, -14.7, 29.3)
(-4.5, -17.5, 29.2)
(-4.5, -17.5, 29.2)
(-4.4, -20.2, 29.1)
(-4.3, -20.2, 29.1)
(-11.6, -19.2, 0.4)
(-11.6, -16.5, 0.3)
(-10.2, -19.2, 0.9)
(-11.6, -13.7, 0.3)
(-10.2, -16.5, 0.9)
(-8.8, -19.2, 1.8)
(-11.7, -11.0, 0.3)
(-10.2, -13.8, 0.8)
(-7.5, -19.2, 2.9)
(-8.8, -16.5, 1.8)
(-11.7, -8.2, 0.3)
(-6.5, -19.2, 4.2)
(-10.1, -11.0, 0.7)
(-7.7, -11.0, 3.1)
(-7.5, -16.5, 2.9)
(-11.7, -5.5, 0.2)
(-5.7, -19.3, 5.6)
(-10.1, -8.2, 0.7)
(-6.5, -16.5, 4.2)
(-7.9, -5.5, 3.2)
(-6.0, -11.0, 6.0)
(-11.7, -2.7, 0.3)
(-10.1, -5.5, 0.8)
(-5.1, -19.3, 7.1)
(-5.7, -16.5, 5.7)
(-11.7, 0.0, 0.3)
(-10.1, -2.7, 0.8)
(-8.0, 0.0, 3.4)
(-4.6, -19.3, 8.7)
(-6.3, -5.6, 6.3)
(-4.9, -11.1, 9.1)
(-5.1, -16.6, 7.2)
(-10.1, 0.1, 0.8)
(-4.2, -19.4, 10.3)
(-4.5, -16.6, 8.8)
(-3.9, -19.5, 12.0)
(-4.1, -16.7, 10.4)
(-4.1, -11.2, 12.4)
(-3.7, -19.5, 13.6)
(-3.8, -16.7, 12.1)
(-3.6, -19.6, 15.3)
(-3.6, -16.8, 13.7)
(-3.5, -19.7, 17.0)
(-3.8, -11.4, 15.7)
(-3.4, -16.8, 15.4)
(-3.6, -11.5, 19.0)
(-3.5, -19.7, 18.6)
(-3.4, -16.9, 17.1)
(-3.5, -19.8, 20.3)
(-3.4, -17.0, 18.7)
(-3.6, -11.6, 22.3)
(-3.8, -6.2, 22.6)
(-3.4, -17.1, 20.4)
(-3.6, -19.9, 22.0)
(-3.8, -20.0, 23.7)
(-4.0, -20.0, 25.5)
(-4.1, -20.1, 27.3)
(-4.3, -17.4, 27.4)
(-4.1, -17.3, 25.6)
(-4.4, -14.6, 27.5)
(-3.9, -17.2, 23.9)
(-4.5, -11.9, 27.7)
(-4.2, -14.6, 25.8)
(-3.6, -17.1, 22.1)
(-4.6, -9.2, 27.8)
